customer_id,churn_score,uplift_score,quadrant_label,recommended_action,execution_timestamp
1154-HYWWO,0.2257,0.1085,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
3995-WFCSM,0.856,0.1104,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0258-NOKBL,0.8979,-0.0392,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
7855-DIWPO,0.8322,0.082,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2195-ZRVAX,0.7325,0.0483,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
5160-UXJED,0.2901,0.0618,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4690-PKDQG,0.8083,0.0859,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
0603-OLQDC,0.7478,0.1245,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
2868-LLSKM,0.1001,0.0796,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8160-HOWOX,0.851,0.0526,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
6217-TOWGS,0.7699,0.1577,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
5172-RKOCB,0.0678,0.0116,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
4282-YMKNA,0.8868,0.0759,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4290-BSXUX,0.8601,0.0724,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
4779-ZGICK,0.0707,0.0167,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9912-GVSEQ,0.8823,0.0656,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
9362-MWODR,0.4543,0.2164,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
3487-EARAT,0.0765,0.0666,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
7130-CTCUS,0.6811,0.0589,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
1636-NTNCO,0.8473,-0.1532,Do-Not-Disturb,Strictly Suppress - Outreach Triggers Subscription Cancellation,2026-09-07T01:43:36.498156
1763-KUAAW,0.127,-0.029,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
6696-YDAYZ,0.0764,-0.0069,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
8024-XNAFQ,0.0733,-0.0472,Do-Not-Disturb,Strictly Suppress - Outreach Triggers Subscription Cancellation,2026-09-07T01:43:36.498156
7815-PDTHL,0.0682,0.0093,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
9259-PACGQ,0.7094,0.1863,Persuadable,Target with 10% Promotional Retention Discount,2026-09-07T01:43:36.498156
5119-KEPFY,0.7974,0.0494,Lost Cause,Suppress Offer - Inelastic Churn Risk (Avoid Wasted Spend),2026-09-07T01:43:36.498156
7297-DVYGA,0.0903,0.0401,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
1950-KSVVJ,0.2649,-0.0418,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
0078-XZMHT,0.0667,0.0069,Sure Thing,Suppress Offer - High Organic Retention (Avoid Cannibalization),2026-09-07T01:43:36.498156
